username,acctdesc,location,following,followers,totaltweets,usercreatedts,tweetcreatedts,retweetcount,text,hashtags
jenkookiee,,,393,206,8020,2018-05-26 23:57:31,2020-08-04 23:59:51,58612,a thread of people offering places to stay in for those who have been rendered homeless because of the tragic blast in lebanon and are in dire need of a place to stay at :,[]
frostygary,🐦 Verified Monster Followed by @ladygaga @BrianNewmanNY @ChewFU @BREEDLOVENYC @vanillaice @McHammer @margaretcho @MTV @MTVNews @korn @tommylondon @HRC #LGBT 🐦,"Hamilton, OH",35646,36341,57211,2009-03-29 19:29:54,2020-08-04 23:59:51,17667,"Our hearts and prayers are with the people of Lebanon, and the victims of the horrific explosion in Beirut. I urge both the Trump Administration and international community to immediately mobilize assistance to the thousands injured in the blast.",[]
babaconteh18,🇸🇱,Liverpool,480,934,19592,2012-06-16 17:00:20,2020-08-04 23:59:51,4081,"This is a video filmed by someone who was standing on his balcony close to the port of #Beirut. 

First you see big plumes of smoke followed by small explosions on ground level and finally an enormous explosion. 

I hope the person who filmed this is safe. 

@akhbar https://t.co/SMd94oreYO","[{'text': 'Beirut', 'indices': [104, 111]}]"
kthnya,,,97,11,8941,2019-01-29 00:06:32,2020-08-04 23:59:51,5216,Migrant worker grabs toddler and saves her from shattered glass and windows as the second big explosion erupted in Beirut earlier today. She did not even think. Migrant workers deserve better in #Lebanon - this woman is a hero. https://t.co/BKnEUl7D7J,[]
afterfalsegod_,Leading us home,"Asuncion, Paraguay",2088,1826,12829,2020-03-22 03:24:36,2020-08-04 23:59:51,28496,"my heart, strength and condolences are with Lebanon and everyone affected by this tragedy. 
please support / donate if you’re able to, i will be doing so too. https://t.co/8ACJFzxl69",[]
CarterMayowa_,"BITCH, dOn'T kILL mY ViBe",In Heavenly Places ,683,1702,7425,2020-02-27 00:30:26,2020-08-04 23:59:51,28496,"my heart, strength and condolences are with Lebanon and everyone affected by this tragedy. 
please support / donate if you’re able to, i will be doing so too. https://t.co/8ACJFzxl69",[]
hazzalouisstan,𝚝𝚛𝚎𝚊𝚝 𝚙𝚎𝚘𝚙𝚕𝚎 𝚠𝚒𝚝𝚑 𝚔𝚒𝚗𝚍𝚗𝚎𝚜𝚜                     shᥱ / hᥱr,,333,208,2362,2018-12-02 11:41:57,2020-08-04 23:59:51,0,Our thoughts and prayers are with our Lebanese brothers and sisters during these trying times. We pray that God grants you patience and solace. God bless Lebanon and the Lebanese people. #BeirutInOurHearts,"[{'text': 'BeirutInOurHearts', 'indices': [187, 205]}]"
gothjsoo,,they/them,1026,1360,4491,2020-04-24 07:17:09,2020-08-04 23:59:51,6710,"You can donate to help Lebanon by downloading the Lebanese Red Cross app, they're a trusted organization and the donations will be used for good https://t.co/Up1G2iYeSd",[]
pabarnya,,,183,233,22085,2017-05-12 09:11:09,2020-08-04 23:59:51,3852,Guys please make Duaa for our brothers and sisters in Lebanon https://t.co/6xFqd5EBHE,[]
MasayoSakabe,ヴォルティス応援してますよー,,417,144,1195,2015-01-11 13:21:03,2020-08-04 23:59:51,231116,Stunning video shows explosions just minutes ago at Beirut port https://t.co/ZjltF0VcTr,[]
taesfaye,how can i make this about baekhyun #TEN,18 she/her xo⁷,129,315,34103,2018-01-30 02:08:15,2020-08-04 23:59:51,28496,"my heart, strength and condolences are with Lebanon and everyone affected by this tragedy. 
please support / donate if you’re able to, i will be doing so too. https://t.co/8ACJFzxl69",[]
andyfattouch,probably tweeting or watching Netflix,,89,69,212,2020-05-10 22:41:32,2020-08-04 23:59:51,31025,"Tonight people in Beirut are going to sleep in shattered homes, during a deadly pandemic, with a collapsing economy led by corrupt politicians, surrounded by countries that have attacked &amp; threatened them and a world that has abandoned them and their refugees. They deserve better",[]
keziahhoots,"She🚺/He🚹/Them🚮
♉☀️♐🌙♊📈
💌Polyam🏩
🔮Forseer👁️
🚯‼️🌋🔞💋",Superposition,181,94,6173,2014-07-11 02:34:12,2020-08-04 23:59:51,9,"this is so scary, beirut is one of the most beautiful cities ive been lucky enough to to visit my heart feels so heavy, praying for the safety of our brothers and sisters in lebanon💔💔 https://t.co/r9vTFKpCJ6",[]
yyvhans,a stan account and shit,☻ | 19 | free palestine 🇵🇸,109,61,9269,2020-06-03 22:08:09,2020-08-04 23:59:50,62375,"a thread to summarize what's happening in lebanon. please link petitions and donation links below, do whatever you can to help. https://t.co/ovVBGJeagT",[]
shahhhhh7,How can I describe myself?,,171,591,14500,2016-12-24 14:50:28,2020-08-04 23:59:50,638,This was absolutely terrifying to see. My heart goes out to the people of Beirut. :((( https://t.co/rWgCbRqq94,[]
Louiebhrus,On Folk,"Las Vegas, NV",140,69,1621,2016-02-18 06:02:18,2020-08-04 23:59:50,4490,"#Beirut Mayor says:

 ""This is like Hiroshima.""

Let that sink in for a moment... https://t.co/7YhjVbi86l","[{'text': 'Beirut', 'indices': [19, 26]}]"
Manuurrr,@day6official/ kpop/ kdrama/ human diversity🙋🏻‍♀️🌼,,89,48,2880,2019-08-15 09:20:19,2020-08-04 23:59:50,59137,thread of donation links to help lebanon:,[]
rizatbrz,,+62,633,665,33535,2012-03-15 06:51:40,2020-08-04 23:59:50,1538,[askrl] pray for beirut everyone https://t.co/RezIhnME79,[]
llogicals,e-‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏human,world wide ____ ,4823,1655,26151,2016-09-26 08:06:46,2020-08-04 23:59:50,5,"Dear Pakistanis
If there is something huge happening anywhere in the world, be sure to switch to BBC World, TRT World, Al Jazeera, CNN and among local channels, ARY News. Because for the rest, whatever happens in Pakistan seems far more important. Just surfed TV to sure! #Beirut https://t.co/1BvAXN9YFv",[]
pepeanon3,yet another pepe - KeK,KeK Galaxy,110,581,6930,2020-02-02 22:33:30,2020-08-04 23:59:50,108,Breaking: POTUS - US Generals assessed Beirut explosion as a bomb attack.,[]
blissfullyKrisT,Ever so grateful.,,191,57,6731,2011-05-28 03:12:34,2020-08-04 23:59:50,17667,"Our hearts and prayers are with the people of Lebanon, and the victims of the horrific explosion in Beirut. I urge both the Trump Administration and international community to immediately mobilize assistance to the thousands injured in the blast.",[]
chasingloren,ᵗʰⁱⁿᵏⁱⁿᵍ ᵃᵇᵒᵘᵗ ²ᴰ ᶜʰᵃʳᵃᶜᵗᵉʳˢ ʕ•ᴥ•ʔ,,45,1664,8931,2016-04-12 14:13:35,2020-08-04 23:59:50,1297,educate yourself and others on what is happening in lebanon; a thread https://t.co/hQPm4afE60,[]
wadeclwilliams,"Journalist, writer, social media junkie. published in the NYTIMES, The Guardian, The Daily Beast, https://t.co/m79f9I2yIA, Formerly AP, Bloomberg.",United States,1270,1758,3147,2012-09-30 14:30:21,2020-08-04 23:59:50,6855,"This is the moment an explosion occurred in the Lebanese capital Beirut.

The explosion appeared to be centred around the city's port area containing warehouses and rippled through several areas of the capital.

Get the latest on this story here: https://t.co/UH3Jscyfkr https://t.co/lIzHr7CPio",[]
ryusenshi,,,1459,47,5749,2017-11-05 00:44:09,2020-08-04 23:59:50,3634,The woman narrating this video perfectly poetically captures the moment. ❤️ ❤️ ❤️ to Lebanon 🇱🇧 https://t.co/BRezMWT5IV,[]
Jacq2910,,"Boston, MA",936,30,77836,2015-02-03 14:41:59,2020-08-04 23:59:50,1157,BREAKING: Israel approached the Lebanese government through international intermediaries and proposed humanitarian assistance for the victims of the Beirut explosion,[]
moonlightybi,@arianagrande follows | ceo of changing pfp's,@euphoriaswt too,300,602,7591,2011-05-04 03:12:11,2020-08-04 23:59:50,0,praying for lebanon :(,[]
al1ne_r,à la vie,,150,806,72674,2016-04-21 01:24:34,2020-08-04 23:59:50,468,this is what i think at least cause in the past few months because of covid-19 and the current lebanese economic crisis people have been trying to send money to lebanon but every time that happens it's converted to lebanese currency and the banks (??) take the original currency,[]
Namaasamaran,"Pria Punya Selera, Indomie Seleraku.","Kota Bogor, Jawa Barat",18,1,795,2019-05-19 11:40:44,2020-08-04 23:59:50,231116,Stunning video shows explosions just minutes ago at Beirut port https://t.co/ZjltF0VcTr,[]
_esraa_nabil,بقول المفيد,,98,53,62,2020-07-06 16:39:27,2020-08-04 23:59:50,0,Our thoughts and prayers are with our Lebanese brothers and sisters during these trying times. We pray that God grants you patience and solace. God bless Lebanon and the Lebanese people. #BeirutInOurHearts,"[{'text': 'BeirutInOurHearts', 'indices': [187, 205]}]"
mtmouline,Architecte fan d'architecture (sans blague) et... toujours supporter d'Obama!,Maroc,425,195,47304,2011-07-06 09:16:05,2020-08-04 23:59:50,559,"Yep.  Trump just called the Beirut explosion a ""terrible attack."" https://t.co/dEBjoZI4lT",[]
Abde_Le_Khal,jtweet la nochess gracie millé,Partout même dans ton trou 🕳,967,1037,32013,2016-08-18 23:06:53,2020-08-04 23:59:50,6741,Port of beirut* https://t.co/32a8fDP4LY,[]
MehwishSomani,The only real change come from inside|‏‏‏الحمد لله,"Toronto, Ontario",389,513,11694,2012-07-25 23:00:34,2020-08-04 23:59:50,5497,"May Allah swt heal those that were injured in Lebanon may the deceased be granted jannatul firdous and May he give comfort to those that lost their loved ones, Ameen",[]
bvoqa,@bts_twt ─ ily more than 3000 ♡ | vᵗᵒᵖ kookᵇᵗᵗᵐ | blackpink | txt | #wayv | nct | still with youシ,,888,445,23603,2018-02-05 14:38:08,2020-08-04 23:59:50,89346,how you can help lebanon; a thread,[]
lwtairplane,these high walls never broke my soul,junghoseok,47,10,344,2020-06-30 14:17:47,2020-08-04 23:59:50,1961,Quick thread on how to donate to the Lebanon Red Cross!! Blow this up! Lebanon needs the support. #PrayForLebanon #beruit,"[{'text': 'PrayForLebanon', 'indices': [116, 131]}, {'text': 'beruit', 'indices': [132, 139]}]"
vingkaami,"Revolution. Evolution. Drop in the ocean. | i draw sometimes 💜
ig: @vingka_art
backup acc: @vivingkassi",Omelas,1002,761,20755,2018-09-22 21:23:58,2020-08-04 23:59:50,3963,"hi please remove the dynamite emoji and the ˗ˏˋy/nˎˊ˗ sparks until further notice, both can be seen as disrespectful due to the current situation happening in lebanon !!",[]
_apatel1,,"Leicester, England",205,207,853,2019-02-20 16:54:47,2020-08-04 23:59:50,12306,"Heartbreaking, devastating, tragic, horrific scenes from #Beirut. My thoughts &amp; prayers are with #Lebanon today. The sheer magnitude of the #BeirutExplosions! Almighty, help them overcome such a difficult time. We seek Your Mercy and strength!  #BeirutBlasts","[{'text': 'Beirut', 'indices': [72, 79]}, {'text': 'Lebanon', 'indices': [116, 124]}]"
PaksterRody,,,31,1,511,2019-05-08 23:44:53,2020-08-04 23:59:50,383,"Our Lady of Lebanon, Queen of Lebanon, you who have watched over the agonizing suffering of the Lebanese people, pray for Beirut and protect and take care of your people! 🇱🇧 https://t.co/k7IhoMaGQG",[]
lyxaloveslouis,"on limit
♪ 𝚜𝚝𝚛𝚎𝚊𝚖 𝚠𝚊𝚕𝚕𝚜, 𝚒𝚌𝚊𝚛𝚞𝚜 𝚏𝚊𝚕𝚕𝚜, 𝙻𝙿𝟷, 𝚏𝚒𝚗𝚎 𝚕𝚒𝚗𝚎, & 𝚑𝚎𝚊𝚛𝚝𝚋𝚛𝚎𝚊𝚔 𝚠𝚎𝚊𝚝𝚑𝚎𝚛 ♪
#TPWK",urheart♡ | 🇮🇩 | 16☆ ,1784,1053,596,2020-07-28 14:44:49,2020-08-04 23:59:50,4942,how to help lebanon,[]
MaryanneD_1,"Travel photography, Avid cyclist, Animal lover, Sports fan, Native New Yorker-on sunny days you'll find me outdoors. No DM’s #VOTE2020 #VoteBlueNoMatterWho","Georgia, USA",3151,4506,6206,2012-05-30 23:52:17,2020-08-04 23:59:50,11789,"I honestly can’t even wrap my head around this: 

A Lebanese security official says 2,700 Tons of Ammonium Nitrate led to the #beirut explosion (per @Reuters citing local media)

the Oklahoma City bombers used approximately 2 Tons and destroyed 1 building, shattered another 286",[]
Hisokvv,4🕷1m78.🇨🇫,Kim Taehyung wife,1788,1903,113833,2018-08-08 21:27:41,2020-08-04 23:59:50,2938,"What the fuck was that?
#Beirut https://t.co/kbWHZhV138","[{'text': 'Beirut', 'indices': [39, 46]}]"
scottie476,⁶𓅓,,288,460,3328,2012-02-01 04:19:54,2020-08-04 23:59:50,118622,Petitions don’t work in the Middle East so instead here is a thread of donation links specifically to help those in Lebanon!!!! Please share and donate if you can!!!!,[]
LevijulioS,,,108,94,3060,2018-03-10 11:25:10,2020-08-04 23:59:50,231116,Stunning video shows explosions just minutes ago at Beirut port https://t.co/ZjltF0VcTr,[]
solaceniaII,репутации track 12 — 0:18-0:25,,249,668,28554,2012-10-19 07:46:54,2020-08-04 23:59:50,89346,how you can help lebanon; a thread,[]
mayenazol,Médico👩‍⚕️. You're gonna judge me anyways might as well have fucking fun😜 #BTS #Gatos #EDM.,"Lima, Peru",733,14006,64299,2010-11-26 19:24:41,2020-08-04 23:59:50,9912,"The photographer who trying to document this video he died 
#BeirutBlast #Beirut 
https://t.co/UX6CIi583r","[{'text': 'BeirutBlast', 'indices': [80, 92]}, {'text': 'Beirut', 'indices': [93, 100]}]"
Destroy_ALEC,To shrink ALEC to the size where we can drown it in a bathtub.             Why?  Becausewecan.                    The USA is NOT OK with #ALEC.,ALEC MUST SEE,3590,4502,183320,2013-07-21 23:14:22,2020-08-04 23:59:50,2716,Lebanon’s pm says 2750 TONS of stored ammonium nitrate (like a huge fertilizer bomb) ripped through Beirut. Now concerns about fumes in a city with blown out windows and doors.,[]
Katyyyroseee013,𝚒 𝚊𝚖 𝟹% 𝚑𝚞𝚖𝚊𝚗 𝚊𝚗𝚍 𝟿𝟽% 𝚜𝚝𝚛𝚎𝚜𝚜,hell ,50,12,991,2020-05-02 23:35:08,2020-08-04 23:59:50,75893,"tw//death, explosions 

what's happening in Lebanon atm :",[]
williamwooten94,"Spiritual Traveler, life long biker. I survived 7 years in prison and came out a much better person. Use to hurt people now do volunteer work to help people.",,4312,2461,45519,2014-11-17 19:35:10,2020-08-04 23:59:50,17667,"Our hearts and prayers are with the people of Lebanon, and the victims of the horrific explosion in Beirut. I urge both the Trump Administration and international community to immediately mobilize assistance to the thousands injured in the blast.",[]
santi_maja,Going up,Nigeria,263,275,1166,2016-10-27 11:46:43,2020-08-04 23:59:50,383,"Our Lady of Lebanon, Queen of Lebanon, you who have watched over the agonizing suffering of the Lebanese people, pray for Beirut and protect and take care of your people! 🇱🇧 https://t.co/k7IhoMaGQG",[]
KapKobe,#UFC #NBA #MMA #Boxing Capper #Kapernick #Kobe #Khabib #UFCBrasilia #Equality #Lakers #Kuz #Raptors #coronavirus #UFC249 #Holloway #elCucuy #MambaMentality,"Surrey, British Columbia",2294,719,22393,2019-09-27 07:07:50,2020-08-04 23:59:50,0,@Sergio_Guzelian @critictheworld I'm not from Lebanon I'm from Canada love to the people of Lebanon but Israel been doing slot of shit too. I don't follow your politics.,[]
lwtlwalls,love is only for the 𝗯𝗿𝗮𝘃𝗲.,1D ♡,852,1083,1425,2018-11-13 01:19:27,2020-08-04 23:59:50,426,"GUYS I’M FROM LEBANON AND I NEED YOUR HELP ♥️

Here’s some petitions you can sign down below please make a change.",[]
amp326,,SF Bay Area,637,138,3350,2009-07-22 16:23:32,2020-08-04 23:59:50,395,"I went around Beirut today after the blast. The damage is shocking. Every single residential building, every shop, every hotel, every restaurant, almost nothing left untouched by the pressure from the blast. The streets are covered in broken glass, as if it rained shards of glass",[]
marcinhalas2,"""Bądź wierny Idź""

Zbigniew Herbert

🇵🇱konserwatysta, katolik, dziennikarz

🇵🇱conservative, catholic, journalist, political scientist #ProLife",,1468,1331,12572,2018-03-17 19:01:47,2020-08-04 23:59:50,1572,"BREAKING: President Trump says deadly Beirut explosion “looks like a terrible attack.”

“Our prayers go out to all the victims and their families. The United States stands ready to assist Lebanon.” https://t.co/fg30MSOQUg",[]
krl_rphl,joke lang,,486,513,6950,2019-05-04 13:41:35,2020-08-04 23:59:50,1751,"#BeirutBlast
-67 people killed and some 3,600 injured
-Lebanon PM blames ""2,750 tons of ammonium nitrate"" stored at port
-Trump says U.S. military officials “seem to think it was an attack""
-Explosion happened during grace period before another lockdown

Video via @QuickTake https://t.co/Pc8QYoYITu","[{'text': 'BeirutBlast', 'indices': [14, 26]}]"
EnzoOfficialRAP,"News Video Editor @AlJadeedNews, Rapper @ArabsGotTalent, Former Editor @OTVLebanon & @Assafir, TEDx Speaker, 99.9% Of My Tweets are Sarcastic",Lebanon,1368,11822,238,2012-01-24 16:24:59,2020-08-04 23:59:50,321,"Devastating videos emerging on Twitter from Beirut following a massive explosion in the city. 

Our thoughts are with all #ASRoma fans in Lebanon and anyone affected by the blast.",[]
fullmoonblue_,"A full time dreamer🤟🏻 || you will regret someday, if you don't do your best now. -JK🐰💜 || kpop enthusiast and kdrama addicted✨🌈",,567,550,5201,2017-01-06 13:54:09,2020-08-04 23:59:50,5427,"Dramatic video shows a massive explosion near Beirut's port that caused destruction to homes miles away. Dozens have been killed and thousands are believed to be injured, officials say. https://t.co/wOOvmOdkM4 https://t.co/2QxqtTfuQz",[]
RayaneNamour,Ray Ray Green / 92:48 🤍 Beirut ❤️,joun-Al chouf,507,474,1439,2019-06-05 09:14:42,2020-08-04 23:59:50,29,"They killed us financially
They killed us economically
They killed us physically
They killed us morally
They killed us chemically

There’s not one form of death they haven’t used with us.

Damn our political class.

#LebanonExplosion #Lebanon",[]
aloralelechon,ryeu bscn | love means coming back... now i know what love means,🇨🇦 she/her ,884,795,39684,2012-12-27 05:26:33,2020-08-04 23:59:50,46362,"ive seen some tweets going around abt how there’s some donation links that won’t help the people in lebanon, instead the money would go to the corrupted government. so here’s a thread of some trusted donation links that will go towards helping the people in lebanon.",[]
na_quil,Problem solving troublemaker. interested in legal practice worldwide and hermeneutics. Rejects sides.  soul lost in life. Too many stupid interests.,Nowhere to be,529,104,4677,2014-09-09 17:24:32,2020-08-04 23:59:50,0,I am deeply worried about people in Beirut. There too much pain everywhere. This really is terrible.,[]
Mjamal_udn,,,36,3,121,2020-03-15 23:21:59,2020-08-04 23:59:50,12306,"Heartbreaking, devastating, tragic, horrific scenes from #Beirut. My thoughts &amp; prayers are with #Lebanon today. The sheer magnitude of the #BeirutExplosions! Almighty, help them overcome such a difficult time. We seek Your Mercy and strength!  #BeirutBlasts","[{'text': 'Beirut', 'indices': [72, 79]}, {'text': 'Lebanon', 'indices': [116, 124]}]"
aprilgsrynx,"Otak, Pena & Mulut
#MahasiswaHukumBiasa","East Borneo, Indonesia",120,161,267,2020-01-05 10:28:38,2020-08-04 23:59:50,1751,"#BeirutBlast
-67 people killed and some 3,600 injured
-Lebanon PM blames ""2,750 tons of ammonium nitrate"" stored at port
-Trump says U.S. military officials “seem to think it was an attack""
-Explosion happened during grace period before another lockdown

Video via @QuickTake https://t.co/Pc8QYoYITu","[{'text': 'BeirutBlast', 'indices': [14, 26]}]"
SaraFCBi,"Barçaholic, Messi Extremist, European Football Addict ♥️💙 #Culers @LaMasiology and @BarcaTimes",Soon in Europe 🇪🇺,229,3904,8329,2019-09-02 22:05:04,2020-08-04 23:59:50,9132,Our condolences and support to all those affected by the explosion in Beirut. Our hearts are with you. https://t.co/tpkty76obM,[]
AleeyuLiver,Islam. RIJF Dad. Set your goals high and don’t stop until you get there.,"Abuja, Nigeria",546,732,26750,2014-10-15 08:06:40,2020-08-04 23:59:50,31025,"Tonight people in Beirut are going to sleep in shattered homes, during a deadly pandemic, with a collapsing economy led by corrupt politicians, surrounded by countries that have attacked &amp; threatened them and a world that has abandoned them and their refugees. They deserve better",[]
weirdosmilew,kaycee rice network,,113,148,5012,2020-02-26 00:48:53,2020-08-04 23:59:50,58612,a thread of people offering places to stay in for those who have been rendered homeless because of the tragic blast in lebanon and are in dire need of a place to stay at :,[]
jbog17,MUFC,,162,111,2228,2014-07-14 12:47:45,2020-08-04 23:59:50,239,Canada is deeply saddened to learn of the loss of life and injuries caused by the explosion in #Beirut. Canada stands with the people of #Lebanon in this difficult time. Our thoughts are with all those affected. 🇨🇦 🇱🇧,"[{'text': 'Beirut', 'indices': [109, 116]}]"
geniusugaa,btxt world domination!,she/her • ⟭⟬ 𖧵,1833,1842,31262,2017-12-04 15:01:41,2020-08-04 23:59:50,75893,"tw//death, explosions 

what's happening in Lebanon atm :",[]
pinlupinn,Thai NCTzen 💚 | เกิดมาเพื่อชิปแล้วนิพพาน JaeDo NoRen | Soulmate | คูมแม่น้องโดยองที่ตอนนี้คลั่งรักนาแจมิน🐰 | มาร์คลีน่ารักเท่าโลก🦁,,130,87,56075,2019-02-26 02:12:46,2020-08-04 23:59:50,5907,Blood banks in lebanon. Please share. Lebanon needs blood. #Beirut #لبنان #بيروت https://t.co/bgW4fpdaZg,"[{'text': 'Beirut', 'indices': [76, 83]}, {'text': 'لبنان', 'indices': [84, 90]}, {'text': 'بيروت', 'indices': [91, 97]}]"
chrxsti,,,122,45,1175,2018-07-06 17:11:53,2020-08-04 23:59:50,118622,Petitions don’t work in the Middle East so instead here is a thread of donation links specifically to help those in Lebanon!!!! Please share and donate if you can!!!!,[]
Azwanie97_,Something worth fight for.,"Ampang,KL",128,53,2266,2015-08-06 11:47:02,2020-08-04 23:59:50,56170,"My brother sent me this, we live 10 KM away from the explosion site and the glass of our bldgs got shattered. 
#Lebanon https://t.co/MPByBc673m","[{'text': 'Lebanon', 'indices': [128, 136]}]"
r_j_n_20,Courage w/ Patience.💪,Taguig City,191,158,17021,2010-05-16 06:19:06,2020-08-04 23:59:50,0,Grabe 2020!!!😥🙊😭😭 Praying for the people of Lebanon.🙏🙏🙏,[]
lauralouiserice,uofsc’22 | use your voice no matter your platform | peace over all,,160,133,305,2018-10-22 15:08:03,2020-08-04 23:59:50,28496,"my heart, strength and condolences are with Lebanon and everyone affected by this tragedy. 
please support / donate if you’re able to, i will be doing so too. https://t.co/8ACJFzxl69",[]
someonelikemeyh,multistan,United Kingdom,573,386,83910,2017-11-28 08:58:03,2020-08-04 23:59:50,451,"Lebanese Neverland and all the people in #Beirut, please stay safe 💜🇱🇧","[{'text': 'Beirut', 'indices': [60, 67]}]"
jxlietb,glenn💜,Bay Area,472,321,28184,2016-12-14 22:50:21,2020-08-04 23:59:50,4713,"Please, pray for #Beirut, Lebanon.
It's heartbreaking 💔 #بيروت https://t.co/ibTkBHZuhk","[{'text': 'Beirut', 'indices': [35, 42]}, {'text': 'بيروت', 'indices': [74, 80]}]"
jaxshi,𝓨𝓸𝓾 𝓪𝓻𝓮 𝓽𝓱𝓮 𝓪𝓹𝓹𝓵𝓮 𝓸𝓯 𝓶𝔂 𝓮𝔂𝓮 @pledis_17 ( ˘ ³˘)💚,svt ,369,370,39141,2019-08-12 16:37:35,2020-08-04 23:59:50,5141,"What kind of irresponsible people left 2,750 tons of ammonium nitrate left unsecured for 6 years in a warehouse? 🤬🤯
50+ dead, 3,000 injured, hospitals overwhelmed.😰
#Beirut #Lebanon 
 https://t.co/gO7M0Tleds",[]
Skkyy__,"Mostly in that mood where everything is hilarious. Also a mermaid. Living the eco-friendly life. 🏳️☥🌞📚♀️✊🏼🌍
اسمي سماء مش سما",Egypt/ France,562,588,66945,2018-03-02 12:48:24,2020-08-04 23:59:50,31,Lebanon and the Lebanese deserve SO much better than the cards they’ve been dealt.,[]
ClaudiioVera,,"Ushuaia, Argentina",146,188,11862,2012-12-11 00:12:23,2020-08-04 23:59:50,231116,Stunning video shows explosions just minutes ago at Beirut port https://t.co/ZjltF0VcTr,[]
maddyholdenn,Just a girl looking for her purpose in this world🌟,,623,3399,91954,2014-07-13 21:19:20,2020-08-04 23:59:50,1261,"this is so sad i don’t know what to amplify yet to help but here is a card i found for Lebanon we can start sharing i think, this one has places to donate to for relief, food banks, etc. if anyone has others put them below ❤️

https://t.co/9wGNUe6g2R https://t.co/MR65CuXlSL",[]
mwasrk,❤🐤 @mtuan93 @real_kimyugyeom @jjksnp,,429,113,30662,2017-10-19 09:01:36,2020-08-04 23:59:50,5141,"What kind of irresponsible people left 2,750 tons of ammonium nitrate left unsecured for 6 years in a warehouse? 🤬🤯
50+ dead, 3,000 injured, hospitals overwhelmed.😰
#Beirut #Lebanon 
 https://t.co/gO7M0Tleds",[]
lovncity,𝘽𝙏𝙎 |𝙏𝙓𝙏 | 𝙎𝙆𝙕 | 𝙀𝙓𝙊 |𝙏𝙒𝙄𝘾𝙀 |𝙄𝙏𝙕𝙔 | 𝙍𝙀𝘿 𝙑𝙀𝙇𝙑𝙀𝙏 | 𝘽𝙇𝘼𝘾𝙆𝙋𝙄𝙉𝙆 | Educate yourself and help in any way possible:,Multi ♡ she/her ♡,287,234,1164,2019-07-10 20:43:06,2020-08-04 23:59:50,18749,A houses and hotels and schools that are wide open for all the injured / harmed from the explosion in Lebanon.  A thread ( please share ),[]
SlNGVLARITAE,prod. suga,multi  |  she/her,1302,1858,117973,2012-09-12 14:35:50,2020-08-04 23:59:50,29801,"carrds to educate yourself on what’s happening in lebanon, please check them out:",[]
mikadipea2,she/her,,123,17,363,2012-07-17 15:25:51,2020-08-04 23:59:50,59137,thread of donation links to help lebanon:,[]
techabas,"Don't believe in my tweets,right.",Bandung,522,1224,19105,2011-03-29 12:08:24,2020-08-04 23:59:50,6217,"The cause of the explosion is not yet known.

#Beirut #Lebanon #بيروت https://t.co/EXoSE6SJrX","[{'text': 'Beirut', 'indices': [67, 74]}, {'text': 'Lebanon', 'indices': [75, 83]}, {'text': 'بيروت', 'indices': [84, 90]}]"
daysebolsonaro1,,,398,122,4469,2019-09-01 17:19:07,2020-08-04 23:59:50,32,Another video of the massive blast that took place in #Beirut port today #BeirutExplosion #BeirutBlast #انفجار_بيروت https://t.co/cspT2ePuvJ,"[{'text': 'Beirut', 'indices': [69, 76]}, {'text': 'BeirutExplosion', 'indices': [88, 104]}, {'text': 'BeirutBlast', 'indices': [105, 117]}, {'text': 'انفجار_بيروت', 'indices': [118, 131]}]"
seanuwaa,"ult EXO | 张艺兴， 陈卓璇， 赵磊， 小鬼
肖战， 王一博。",unknown,225,40,5227,2020-01-02 08:47:53,2020-08-04 23:59:50,949,"DONATING LOCALLY: people have been asking where to donate if you select ‘local ambulance station’. I have made a list of the options of services within 20 minutes of Beirut, with the closest at the top https://t.co/uIXhMKYYIW",[]
zairaandraee,stan visuals. stan talents. stan red velvet. (*´∀`)♪,"Québec, Canada",323,215,27502,2016-05-24 01:43:49,2020-08-04 23:59:50,6872,"Using dimensional analysis I estimate that the energy contained in the awful #Beirut explosion was approximately 12 Terajoules = 3 kilotons of TNT. For reference the ""Little Boy"" dropped on #Hiroshima was ~13-18 kilotons of TNT. #orderofmagnitudephysics https://t.co/Pfhew7mXwE","[{'text': 'Beirut', 'indices': [97, 104]}]"
helou_sara,the escape from reality,,62,5,12,2018-12-08 17:34:35,2020-08-04 23:59:50,14448,"A large explosion just took place in downtown Beirut. I have family there and have confirmed they’re all safe, but many are injured and in need of immediate assistance. If anyone can contribute to the following link, the first round of donations are going to @RedCrossLebanon",[]
rxtian_dee,ack,velgarth,3343,4352,73286,2011-01-14 09:18:20,2020-08-04 23:59:50,35808,"Please take a minute or two to pray for our brothers &amp; sisters at Beirut, Lebanon. There has been a massive explosion &amp; the blast leave dozens dead &amp; thousands injured. 

Our prayers &amp; thoughts are with them. https://t.co/xjC9dyvlTT",[]
dreamyfluffy,,,78,69,7532,2016-11-17 21:53:09,2020-08-04 23:59:50,5346,"Sending out our thoughts, prayers and love to Lebanon,Beirut so many innocent gone and injured ! 
#PrayForLebanon 🇱🇧 https://t.co/GKV1I1oIzE","[{'text': 'PrayForLebanon', 'indices': [118, 133]}]"
